year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,9,9,13,7,11,10,16,20,12,11,13,11,142
2011,7,9,11,8,18,13,15,9,11,13,11,12,137
2012,7,6,15,11,10,17,9,11,3,10,12,13,124
2013,14,11,5,6,7,12,12,12,10,19,13,11,132
2014,11,10,16,13,12,7,4,5,10,13,12,7,120
2015,10,5,9,10,15,11,14,8,14,12,12,8,128
2016,13,11,9,4,14,16,14,16,9,17,9,12,144
2017,11,8,7,14,13,6,5,5,9,12,8,9,107
2018,12,7,6,9,4,9,5,9,10,8,11,8,98
2019,9,3,7,8,7,13,8,10,7,9,1,5,87
2020,6,9,5,4,8,8,7,9,4,9,15,13,97
2021,11,8,6,9,9,11,11,9,12,7,12,3,108
2022,8,6,6,7,17,7,9,12,7,8,11,11,109
2023,10,5,10,15,10,7,9,8,12,5,11,13,115
