year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,12,11,10,11,19,9,14,6,13,6,12,11,134
2011,9,11,11,14,12,13,15,15,11,20,11,7,149
2012,7,18,13,13,18,13,12,20,11,12,7,9,153
2013,10,11,13,17,22,17,15,17,14,8,7,7,158
2014,3,13,14,13,17,12,5,15,7,13,9,13,134
2015,17,10,18,11,23,12,16,16,9,11,14,13,170
2016,16,14,10,21,12,17,12,15,16,14,9,10,166
2017,15,5,7,16,15,14,18,16,13,16,17,13,165
2018,15,11,16,16,12,13,11,8,11,14,8,11,146
2019,20,14,14,21,16,12,18,9,10,7,9,11,161
2020,10,20,7,9,21,15,7,14,12,19,15,13,162
2021,13,11,17,18,19,25,18,18,22,14,14,20,209
2022,26,14,20,15,11,20,15,19,15,16,21,8,200
2023,9,8,12,12,20,12,22,9,12,20,16,20,172
