year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,34,44,31,46,50,44,56,50,44,37,45,42,523
2011,48,42,39,45,53,33,52,35,54,63,35,53,552
2012,46,42,49,54,41,57,65,50,47,57,41,50,599
2013,36,41,54,60,41,63,77,63,49,65,62,52,663
2014,61,54,57,64,47,62,64,48,45,66,52,43,663
2015,47,61,58,65,78,57,54,68,53,58,47,58,704
2016,47,58,60,73,69,73,67,85,60,64,54,62,772
2017,56,55,65,62,67,83,83,72,72,65,81,85,846
2018,61,62,64,69,62,67,55,57,58,67,75,73,770
2019,55,46,58,51,77,88,69,71,68,75,65,60,783
2020,59,77,59,51,88,87,95,104,101,87,98,84,990
2021,74,80,96,101,97,97,94,84,96,92,92,76,1079
2022,94,75,85,86,97,102,97,85,79,84,89,72,1045
2023,73,65,71,82,64,77,83,77,69,74,67,80,882
