year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,2,1,1,3,4,3,4,4,1,1,1,3,28
2011,1,1,2,5,3,5,0,4,3,4,1,1,30
2012,2,3,1,2,2,4,5,4,2,1,5,7,38
2013,4,0,1,2,3,6,1,2,0,7,2,3,31
2014,2,5,4,7,4,5,7,3,1,6,5,3,52
2015,3,2,4,2,5,4,4,2,4,7,2,1,40
2016,4,0,2,5,4,4,4,3,4,3,3,1,37
2017,0,4,4,0,1,5,3,1,6,3,3,3,33
2018,3,0,5,3,3,0,3,3,1,2,7,2,32
2019,1,0,1,1,4,3,7,6,5,4,3,2,37
2020,2,3,1,1,3,4,4,5,4,3,1,5,36
2021,3,3,1,0,7,2,1,2,4,13,1,3,40
2022,2,5,3,1,7,5,3,2,3,2,6,5,44
2023,6,4,2,5,5,3,2,0,1,0,4,1,33
