year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,2,1,0,1,0,0,2,0,1,1,1,1,10
2011,1,2,1,1,1,1,1,1,0,0,0,0,9
2012,1,0,0,0,0,0,0,0,0,0,0,0,1
2013,1,0,1,2,1,0,0,0,0,0,1,0,6
2014,2,0,4,0,0,0,0,1,0,0,0,0,7
2015,0,1,1,0,0,0,3,0,0,0,1,0,6
2016,0,0,0,1,0,1,1,1,1,2,0,0,7
2017,0,1,1,0,2,2,1,3,1,1,0,0,12
2018,0,0,2,0,1,1,3,0,2,1,0,0,10
2019,0,0,0,3,0,0,0,1,0,1,1,0,6
2020,2,0,0,0,1,1,0,3,3,0,0,0,10
2021,1,0,1,0,1,2,1,0,1,2,0,0,9
2022,0,1,2,1,1,0,0,0,1,0,0,1,7
2023,1,1,1,0,0,0,0,1,0,0,0,0,4
