year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,1,4,4,4,3,8,9,7,9,5,4,1,59
2011,1,1,2,8,2,7,6,4,9,9,5,3,57
2012,2,4,8,5,2,3,3,11,5,2,5,4,54
2013,1,1,7,7,5,4,9,6,4,11,9,7,71
2014,2,3,8,5,8,7,7,9,4,4,3,3,63
2015,1,6,8,3,5,7,13,8,7,7,4,3,72
2016,3,4,3,9,6,7,6,4,5,8,2,2,59
2017,0,0,5,7,12,11,8,6,4,5,4,10,72
2018,4,4,1,2,7,10,8,5,10,3,5,2,61
2019,1,6,6,10,4,6,10,12,6,7,6,6,80
2020,1,7,3,4,6,8,7,7,5,7,3,7,65
2021,7,3,8,1,18,5,7,5,7,9,10,3,83
2022,3,4,4,9,5,12,16,8,9,12,7,3,92
2023,3,4,4,4,3,3,8,5,5,8,2,3,52
