year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,21,16,11,14,20,13,16,19,13,18,18,10,189
2011,9,8,9,13,8,7,26,20,18,15,11,13,157
2012,9,19,21,28,20,21,23,25,37,21,15,19,258
2013,25,19,26,29,12,17,17,9,30,25,17,19,245
2014,11,6,11,20,27,19,20,26,23,25,14,16,218
2015,18,7,12,19,19,19,21,30,17,16,17,26,221
2016,8,13,23,11,14,13,20,17,10,13,13,9,164
2017,10,9,8,11,11,18,13,14,14,16,14,10,148
2018,14,8,12,11,9,18,13,15,13,14,5,10,142
2019,5,7,13,9,9,9,14,21,7,14,8,7,123
2020,13,3,10,6,13,25,7,19,15,10,10,7,138
2021,3,7,8,13,11,8,15,14,9,11,5,5,109
2022,6,8,10,11,13,11,13,8,7,15,11,4,117
2023,8,3,7,5,10,10,13,10,9,8,7,4,94
