year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,2,1,0,2,2,1,0,4,0,4,5,1,22
2011,2,2,2,2,2,5,2,6,3,7,5,6,44
2012,5,3,3,2,9,8,3,8,7,8,9,5,70
2013,2,3,3,5,8,2,7,7,10,9,5,7,68
2014,2,1,1,4,2,4,6,6,6,2,11,2,47
2015,1,4,4,4,7,3,3,4,3,3,5,1,42
2016,3,2,4,4,6,3,9,3,3,7,7,3,54
2017,3,3,2,3,2,2,3,4,7,1,5,4,39
2018,1,2,5,2,1,6,3,0,2,3,1,1,27
2019,0,0,2,2,3,5,5,4,1,3,3,1,29
2020,2,0,0,2,6,1,4,6,3,5,1,4,34
2021,2,3,2,3,6,8,5,3,4,3,1,1,41
2022,0,3,2,1,4,4,5,2,10,3,1,0,35
2023,1,1,3,2,2,1,4,5,2,4,8,6,39
