year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,5,6,6,7,6,1,8,9,4,11,5,6,74
2011,4,5,6,4,4,6,4,0,4,2,2,0,41
2012,4,1,1,5,11,9,14,10,5,1,2,7,70
2013,8,8,7,7,3,4,11,9,11,12,4,9,93
2014,3,4,6,7,10,9,7,9,10,8,9,6,88
2015,7,4,8,6,3,5,2,7,11,6,8,3,70
2016,6,11,5,10,8,5,12,5,8,7,13,5,95
2017,6,5,13,6,8,6,10,8,9,7,7,5,90
2018,6,1,5,7,3,7,5,4,7,4,5,6,60
2019,5,1,6,4,6,7,7,9,5,7,4,11,72
2020,4,3,5,6,3,9,5,7,7,6,6,5,66
2021,5,6,7,7,9,4,3,4,3,9,9,3,69
2022,8,4,4,1,2,13,5,2,5,2,8,10,64
2023,2,5,0,2,4,5,2,3,10,6,2,3,44
