year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,14,19,18,21,26,20,11,14,8,10,14,21,196
2011,7,11,8,14,4,11,15,5,10,3,12,5,105
2012,11,6,11,9,9,17,17,12,9,15,16,15,147
2013,9,9,13,19,6,15,12,14,8,6,8,15,134
2014,12,6,15,11,6,10,10,8,8,11,11,14,122
2015,17,12,15,11,19,4,13,17,15,14,12,14,163
2016,13,11,7,9,16,14,8,12,13,21,15,10,149
2017,15,13,11,16,9,8,6,7,9,11,6,4,115
2018,2,4,7,3,8,11,8,4,8,7,3,5,70
2019,4,4,14,7,4,6,10,16,12,9,10,4,100
2020,6,9,13,9,11,17,8,13,10,14,10,14,134
2021,14,11,12,17,12,21,15,17,5,23,23,15,185
2022,12,20,12,17,23,21,20,19,10,15,14,17,200
2023,8,19,5,12,10,14,17,13,22,15,5,15,155
