year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,4,7,3,12,6,8,8,7,10,16,4,10,95
2011,8,8,3,4,12,10,14,5,7,14,11,4,100
2012,6,7,3,6,5,11,9,6,7,4,3,9,76
2013,4,5,6,5,5,4,10,8,6,7,7,3,70
2014,6,3,4,3,4,7,4,5,8,5,6,9,64
2015,6,3,5,1,7,10,4,5,5,8,6,9,69
2016,3,6,5,6,5,5,3,4,6,4,5,8,60
2017,6,3,5,7,8,4,12,11,7,4,1,9,77
2018,8,4,4,4,3,4,5,5,6,11,3,8,65
2019,4,9,6,4,5,6,5,5,7,9,2,11,73
2020,3,3,7,2,6,4,6,12,8,9,6,4,70
2021,4,4,3,4,16,2,6,10,6,8,4,3,70
2022,6,2,11,3,8,3,7,5,4,8,3,6,66
2023,0,4,4,7,4,5,4,6,6,6,3,4,53
