year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,3,6,3,2,4,2,2,4,4,2,4,3,39
2011,3,3,5,2,6,6,8,8,4,6,5,7,63
2012,3,4,5,10,5,3,3,6,9,6,9,6,69
2013,0,3,3,1,5,1,9,4,1,6,7,2,42
2014,4,1,1,1,3,0,5,3,3,4,2,5,32
2015,3,0,0,3,3,1,1,0,2,2,2,2,19
2016,2,0,2,8,5,6,5,8,6,10,4,3,59
2017,3,3,6,6,5,5,4,6,6,4,1,4,53
2018,3,2,3,8,4,5,4,7,4,3,5,4,52
2019,3,1,0,2,1,3,1,2,1,1,1,1,17
2020,1,0,1,0,1,3,4,1,2,2,0,2,17
2021,1,1,0,3,3,6,2,3,2,3,1,4,29
2022,3,4,1,3,2,5,3,7,0,2,4,6,40
2023,3,4,4,2,5,1,7,3,6,9,3,8,55
