year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,8,3,3,1,4,4,2,1,5,5,2,1,39
2011,4,5,2,8,5,3,1,3,2,2,5,4,44
2012,4,3,2,1,3,3,3,3,3,2,3,4,34
2013,11,6,4,4,3,5,4,5,4,1,10,4,61
2014,2,2,2,3,4,1,2,1,7,1,11,6,42
2015,3,4,2,0,3,3,1,3,3,4,5,3,34
2016,5,4,2,3,3,2,1,0,5,3,3,3,34
2017,1,3,4,1,1,0,0,2,2,1,3,3,21
2018,2,0,4,0,0,1,0,0,0,6,3,3,19
2019,1,4,2,3,2,0,1,2,3,7,3,4,32
2020,3,3,3,3,6,4,4,11,3,4,6,5,55
2021,7,4,5,6,4,4,7,8,4,8,3,2,62
2022,8,8,6,5,9,2,5,4,5,11,9,4,76
2023,3,4,0,4,5,4,5,6,8,3,12,4,58
