year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,6,4,3,5,3,13,10,7,8,9,11,9,88
2011,5,1,15,14,8,7,12,6,8,13,6,4,99
2012,7,8,5,9,8,5,7,4,8,4,9,6,80
2013,6,8,9,11,7,9,7,11,4,6,9,6,93
2014,8,10,10,7,10,7,19,8,3,8,15,3,108
2015,11,4,14,17,10,7,10,7,16,14,9,12,131
2016,12,10,11,10,5,11,15,12,12,13,5,9,125
2017,13,11,9,8,9,10,6,7,5,6,6,5,95
2018,1,7,9,4,6,2,7,9,13,5,3,2,68
2019,7,6,2,5,16,3,11,8,9,7,11,10,95
2020,5,9,5,6,7,7,8,8,11,8,16,10,100
2021,13,6,13,8,10,10,5,14,15,7,14,7,122
2022,5,6,11,10,7,13,4,10,4,11,8,8,97
2023,4,2,0,5,11,6,4,4,4,4,7,6,57
