year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,7,1,3,5,7,6,2,3,7,6,5,1,53
2011,3,0,4,1,5,3,2,4,1,5,3,7,38
2012,3,2,0,3,3,2,2,6,2,2,3,5,33
2013,3,4,2,7,3,6,6,10,5,9,6,0,61
2014,4,3,1,1,4,10,4,3,0,2,7,2,41
2015,0,0,0,1,9,3,5,5,7,2,6,2,40
2016,4,1,5,7,6,3,7,4,2,3,4,5,51
2017,3,4,1,3,3,4,6,1,5,4,1,2,37
2018,2,3,4,8,3,6,7,6,4,4,5,2,54
2019,2,1,3,3,2,10,0,2,2,5,1,0,31
2020,1,3,2,1,1,0,1,2,1,1,3,0,16
2021,1,1,1,0,0,3,2,1,2,1,1,1,14
2022,0,0,1,3,2,6,0,2,3,0,1,3,21
2023,0,4,0,1,2,3,1,2,2,0,1,3,19
