year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,11,4,10,11,12,14,22,7,12,8,9,8,128
2011,4,5,6,5,10,6,8,5,6,12,6,11,84
2012,5,3,12,7,10,5,8,5,7,9,8,7,86
2013,6,4,10,5,6,7,5,9,4,2,6,8,72
2014,2,4,10,7,7,5,5,7,8,3,8,5,71
2015,6,5,1,1,8,3,5,6,3,8,7,9,62
2016,4,6,6,3,11,8,10,8,7,4,7,4,78
2017,7,5,7,4,3,13,5,6,10,14,8,5,87
2018,6,5,1,4,3,10,7,5,4,2,6,6,59
2019,7,5,3,2,4,4,5,6,10,8,2,3,59
2020,5,2,4,5,8,4,7,4,7,5,8,3,62
2021,5,5,3,4,8,5,5,2,9,3,11,7,67
2022,5,5,8,5,5,5,8,4,4,3,3,3,58
2023,4,7,5,6,9,11,14,15,7,12,9,7,106
