year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,18,11,18,17,25,7,12,16,20,21,14,17,196
2011,14,15,13,17,17,17,23,11,23,17,22,24,213
2012,26,21,29,17,23,39,25,34,34,24,16,20,308
2013,18,19,20,12,16,18,13,13,15,16,18,19,197
2014,8,17,11,19,25,16,14,30,21,17,22,11,211
2015,16,15,25,19,29,32,26,24,23,24,22,27,282
2016,13,13,23,17,19,21,17,24,22,29,19,26,243
2017,7,19,10,14,13,16,17,15,17,14,13,13,168
2018,9,14,14,12,19,17,12,7,13,25,24,22,188
2019,19,8,12,2,18,15,21,10,17,14,28,15,179
2020,14,15,27,18,18,30,33,27,35,18,13,18,266
2021,19,14,22,32,33,43,40,29,21,24,21,22,320
2022,29,25,16,19,19,24,27,15,20,17,21,17,249
2023,15,12,15,17,20,19,14,15,19,15,13,22,196
