year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,8,14,16,27,24,24,21,36,20,23,19,13,245
2011,9,15,10,17,15,16,19,20,13,13,16,9,172
2012,9,14,21,13,25,19,27,19,16,14,16,11,204
2013,12,17,8,6,12,22,14,15,27,14,14,15,176
2014,6,14,15,15,16,16,17,20,24,17,19,12,191
2015,10,10,6,9,20,23,13,19,14,14,15,17,170
2016,17,14,13,17,17,26,30,23,19,21,15,9,221
2017,19,16,14,15,18,20,16,21,29,16,20,16,220
2018,12,17,9,12,14,25,26,12,13,18,9,13,180
2019,11,8,13,10,18,15,17,22,21,12,13,11,171
2020,15,7,13,10,9,14,20,30,19,18,17,10,182
2021,12,8,21,14,19,12,21,14,21,18,20,11,191
2022,9,10,7,13,8,7,8,15,11,11,10,9,118
2023,8,8,9,10,15,10,16,12,20,8,10,5,131
