year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,7,5,6,8,6,11,12,8,6,6,5,6,86
2011,13,3,2,3,6,12,10,13,7,7,9,7,92
2012,7,5,8,8,12,10,14,4,6,6,10,9,99
2013,8,10,12,5,13,6,11,16,6,9,5,6,107
2014,2,3,12,7,4,10,10,9,4,10,6,7,84
2015,12,8,8,8,10,8,9,8,10,6,7,4,98
2016,12,4,8,7,9,4,6,9,4,3,1,4,71
2017,8,4,6,4,5,6,6,8,7,9,7,4,74
2018,7,1,7,4,11,7,11,10,4,11,11,10,94
2019,14,7,9,5,8,17,15,9,8,7,8,9,116
2020,5,7,10,9,9,14,7,6,10,15,9,7,108
2021,4,5,3,12,12,7,17,5,9,5,6,3,88
2022,2,4,1,4,5,4,5,1,8,4,3,2,43
2023,5,3,3,6,2,2,3,6,7,7,7,5,56
