year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,29,12,19,26,37,32,52,50,39,37,32,30,395
2011,18,12,28,21,32,32,49,19,19,32,27,25,314
2012,14,23,16,27,20,26,26,15,19,23,24,12,245
2013,9,14,12,15,22,23,13,27,20,25,24,25,229
2014,12,7,18,15,28,19,30,26,13,16,27,14,225
2015,14,8,9,12,22,17,21,24,20,20,20,17,204
2016,11,10,12,19,22,15,17,12,9,8,14,8,157
2017,15,6,12,16,12,21,17,15,8,15,6,13,156
2018,18,11,14,18,13,15,16,8,16,15,10,13,167
2019,11,14,10,12,9,12,7,10,18,12,7,9,131
2020,12,7,9,11,21,19,20,13,20,6,12,5,155
2021,7,9,10,7,9,15,9,22,4,11,6,7,116
2022,8,7,12,13,8,17,11,19,12,17,12,18,154
2023,14,15,16,25,6,16,14,24,17,16,12,7,182
