year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,3,1,1,2,1,3,0,2,2,0,0,0,15
2011,3,1,0,0,1,1,1,0,1,2,1,3,14
2012,1,1,0,1,1,0,0,0,0,0,2,2,8
2013,1,1,0,0,0,1,1,4,1,0,0,1,10
2014,0,0,2,0,2,0,0,0,1,1,1,1,8
2015,1,0,0,1,0,0,0,1,0,0,2,1,6
2016,2,0,0,0,0,1,1,0,0,0,0,1,5
2017,2,0,2,2,0,0,0,0,0,1,0,1,8
2018,0,1,0,0,2,3,2,1,0,1,1,2,13
2019,0,0,1,0,0,0,0,0,0,0,0,0,1
2020,0,0,0,0,0,0,0,0,1,0,1,0,2
2021,0,1,0,0,0,0,1,3,0,1,2,1,9
2022,0,1,0,2,1,2,0,0,1,1,3,1,12
2023,2,4,1,6,0,0,1,1,2,0,0,0,17
