year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,0,1,0,1,1,1,1,1,1,1,1,0,9
2011,0,1,1,0,1,0,0,1,0,0,0,0,4
2012,2,1,2,2,0,1,3,1,1,0,0,2,15
2013,1,0,0,0,0,1,1,0,1,2,2,0,8
2014,0,1,0,1,0,3,0,0,1,0,1,0,7
2015,1,0,2,1,1,2,0,0,0,0,0,2,9
2016,1,1,1,0,1,0,1,2,0,0,0,1,8
2017,1,4,0,2,2,2,1,6,0,1,1,0,20
2018,1,0,0,2,0,0,1,0,1,4,0,0,9
2019,2,1,1,1,1,2,0,1,2,1,1,1,14
2020,0,0,1,0,0,1,0,1,1,1,2,0,7
2021,0,1,0,0,0,0,2,1,1,1,2,1,9
2022,0,1,0,0,1,0,1,1,0,1,0,1,6
2023,0,1,0,2,0,1,1,0,0,2,0,1,8
