year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,5,0,1,7,5,3,7,8,2,2,1,1,42
2011,1,3,2,0,2,1,2,4,5,3,6,1,30
2012,0,1,6,4,3,4,6,13,2,2,0,5,46
2013,1,0,3,1,3,3,6,5,3,5,3,0,33
2014,2,2,2,2,2,3,0,2,2,0,2,0,19
2015,0,0,0,0,0,1,1,3,0,0,0,0,5
2016,0,0,1,2,0,1,0,0,0,0,0,0,4
2017,0,0,1,0,0,0,0,0,0,0,1,0,2
2018,1,1,0,1,2,0,1,0,0,0,0,1,7
2019,0,0,0,2,0,1,0,0,0,1,2,1,7
2020,0,1,0,2,1,1,1,1,2,1,0,0,10
2021,1,0,0,0,1,0,2,1,3,0,0,0,8
2022,1,1,0,2,0,0,2,1,0,1,1,2,11
2023,0,1,0,1,3,1,3,2,2,0,0,2,15
