year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,20,26,15,15,30,22,18,30,25,18,20,8,247
2011,11,8,9,10,16,14,19,9,22,13,9,10,150
2012,12,16,18,9,18,14,16,19,7,4,9,17,159
2013,9,9,10,13,18,11,17,15,10,11,13,11,147
2014,12,8,14,10,11,13,13,17,17,12,11,8,146
2015,16,5,8,9,15,9,14,18,13,19,9,21,156
2016,2,11,17,14,22,10,9,13,6,12,11,7,134
2017,12,9,8,9,7,8,17,9,10,10,6,8,113
2018,4,7,15,9,9,18,17,18,9,9,14,15,144
2019,9,10,12,14,10,9,18,14,19,7,11,16,149
2020,9,10,11,10,7,11,11,17,13,19,14,13,145
2021,14,12,12,18,13,24,11,16,10,15,8,14,167
2022,14,7,10,13,13,10,16,11,23,15,10,17,159
2023,10,7,8,16,30,13,14,9,14,11,13,6,151
