year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,90,81,69,85,105,90,88,104,88,86,67,74,1027
2011,70,65,77,96,90,76,80,77,80,81,54,60,906
2012,64,63,81,67,92,72,81,77,63,78,74,59,871
2013,72,55,83,80,80,101,71,78,65,50,66,58,859
2014,72,47,65,70,55,56,67,72,52,64,63,62,745
2015,55,41,55,54,69,62,60,68,44,54,46,51,659
2016,54,65,59,68,57,54,64,55,51,74,65,58,724
2017,68,41,62,61,66,50,53,43,45,51,60,49,649
2018,52,58,43,56,45,48,58,62,33,58,60,45,618
2019,49,47,47,57,57,43,41,48,54,55,50,64,612
2020,54,64,42,39,73,81,70,71,62,69,69,71,765
2021,72,55,76,76,64,65,75,83,85,73,72,75,871
2022,90,60,78,78,83,91,77,63,75,65,63,68,891
2023,52,59,57,72,50,65,63,78,69,56,64,78,763
