year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,7,2,7,5,12,9,5,8,7,8,3,6,79
2011,5,3,6,3,6,4,15,4,0,6,7,4,63
2012,4,4,1,4,4,5,2,8,2,9,8,3,54
2013,0,3,4,5,4,9,6,6,4,6,6,5,58
2014,7,5,5,3,6,9,6,12,2,3,8,4,70
2015,1,7,2,7,5,3,5,1,4,3,6,8,52
2016,0,4,6,4,4,3,5,7,1,2,4,5,45
2017,6,5,4,6,4,8,6,3,6,3,5,4,60
2018,2,2,3,5,4,2,5,5,4,4,3,4,43
2019,1,5,6,2,0,2,2,3,5,1,4,6,37
2020,10,6,2,3,6,6,3,3,3,6,2,2,52
2021,1,2,3,3,7,1,2,1,2,6,0,3,31
2022,2,9,5,5,10,13,3,11,6,7,3,2,76
2023,5,1,4,8,5,7,5,4,6,7,3,5,60
