year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,6,5,11,8,5,13,11,10,9,5,9,11,103
2011,5,7,12,5,7,6,6,17,7,11,8,6,97
2012,6,8,10,10,12,5,7,10,8,8,12,8,104
2013,7,4,7,9,15,10,10,8,9,9,11,7,106
2014,6,9,9,5,8,10,3,7,9,4,8,8,86
2015,1,4,10,6,7,11,9,8,15,13,13,5,102
2016,3,10,5,6,6,9,9,10,10,7,10,9,94
2017,15,3,7,6,13,9,15,13,16,18,11,10,136
2018,3,5,6,6,3,17,13,9,3,10,6,4,85
2019,6,4,7,4,3,18,12,11,13,9,3,12,102
2020,8,6,5,14,11,15,15,18,8,7,9,15,131
2021,7,7,10,5,8,15,10,13,15,9,17,10,126
2022,12,14,16,8,21,9,24,21,18,17,13,10,183
2023,11,16,9,12,16,16,20,13,13,13,15,8,162
