year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,10,2,6,5,9,3,10,9,12,7,2,5,80
2011,5,4,3,5,7,13,7,6,7,11,7,3,78
2012,3,6,5,4,10,11,5,11,4,8,8,1,76
2013,5,7,5,9,7,3,8,8,12,13,6,3,86
2014,3,4,5,2,2,3,7,7,11,3,5,7,59
2015,0,4,6,5,3,2,8,15,3,4,3,4,57
2016,6,0,4,5,5,3,4,4,5,5,3,7,51
2017,3,4,4,7,5,4,3,4,2,6,4,1,47
2018,2,5,2,4,4,5,1,6,3,1,6,2,41
2019,3,1,5,3,2,3,6,4,4,4,1,4,40
2020,4,4,3,4,4,10,5,7,2,6,1,4,54
2021,2,0,2,3,3,2,4,6,6,2,4,5,39
2022,0,3,2,3,4,4,6,8,3,4,4,7,48
2023,2,4,1,6,3,4,3,2,2,4,2,4,37
