year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2010,12,20,12,26,28,21,25,24,28,23,15,7,241
2011,16,4,7,18,23,19,27,27,21,20,23,21,226
2012,5,4,6,7,8,10,10,11,13,8,3,7,92
2013,7,6,5,5,1,12,12,13,12,11,6,2,92
2014,4,5,3,0,8,4,7,5,3,5,5,2,51
2015,4,2,6,5,9,6,3,11,8,10,8,3,75
2016,5,9,5,5,9,11,8,5,10,5,8,3,83
2017,4,7,6,11,4,11,12,9,5,5,3,7,84
2018,6,3,3,4,4,4,11,6,8,2,4,3,58
2019,2,2,4,5,8,3,8,12,11,2,4,2,63
2020,5,4,6,7,8,9,12,11,9,5,8,1,85
2021,5,5,3,3,7,5,13,5,11,9,9,1,76
2022,5,4,2,7,7,4,6,5,8,7,5,4,64
2023,7,4,5,9,9,6,12,3,7,4,3,4,73
